DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabela 2631 - Número de empregados por atividade econômica segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - Município do Rio de Janeiro - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairros,Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",Serviços industriais de utilidade pública ,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,  9 175,  3 774,  11 884,  8 179,  2 285,  2 610,  1 921,  11 545,  11 176,  28 899,  15 721,   142,  30 204,  37 922,  80 934,  288 448,  66 041,  59 475,  387 592,  134 137,  250 923,  113 186,  132 922,  381 972,  3 148,   0, 2 074 215
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Área de Planejamento 1,  3 603,   279,   546,   963,   255,   558,   114,  4 233,  1 739,  11 944,  3 566,   0,  4 908,  10 728,  24 959,  27 943,  12 453,  37 093,  120 855,  42 774,  53 385,  19 534,  15 594,  324 327,   521,   0,  722 874
Região de Planejamento 1.1,  3 603,   279,   546,   963,   255,   558,   114,  4 233,  1 739,  11 944,  3 566,   0,  4 908,  10 728,  24 959,  27 943,  12 453,  37 093,  120 855,  42 774,  53 385,  19 534,  15 594,  324 327,   521,   0,  722 874
I Portuária,   327,   17,   8,   105,   128,   289,   17,   689,   404,   111,   35,   0,   190,   90,   944,  2 289,  2 772,  4 691,  2 319,  8 254,  1 631,  2 479,   834,  69 630,   11,   0,  98 264
Saúde,-,   5,-,   18,-,   132,-,   14,   62,   37,   11,-,-,-,   82,  1 518,  1 907,  1 785,  1 390,   375,   566,  2 447,   785,  1 682,   5,-,  12 821
Gamboa,-,   10,   1,   60,-,-,-,   6,   49,   1,   2,-,   38,-,   102,   63,   28,   16,   51,   283,   82,   1,   28,-,-,-,   821
Santo Cristo,   327,-,   7,   27,-,   54,   17,   9,   289,   2,   22,-,   152,-,   541,   520,   245,   363,   805,  5 235,   577,   17,   3,  67 948,-,-,  77 160
Caju,-,   2,-,-,   128,   103,-,   660,   4,   71,-,-,-,   90,   219,   188,   592,  2 527,   73,  2 361,   406,   14,   18,-,   6,-,  7 462
